subject,body,label
Happy Friday! ðŸ˜Š,Hope you have a relaxing weekend ahead!,Low
Budget Plan for Next Quarter,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
Meeting Required ASAP,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Critical Issue with Client Delivery,Suspicious login detected. Please reset your password immediately.,High
Meeting Required ASAP,Action is needed immediately to fix a major production bug.,High
Don't Miss Our New Blog Post,Check out our latest blog on workplace productivity.,Low
Monthly Team Review,Here's the agenda for next weekâ€™s review meeting.,Medium
Immediate Action Needed,Action is needed immediately to fix a major production bug.,High
Security Alert: Change Password Now,Action is needed immediately to fix a major production bug.,High
Budget Plan for Next Quarter,Attached is the weekly report. Please review before the Monday call.,Medium
Follow-up on Previous Discussion,Here's the agenda for next weekâ€™s review meeting.,Medium
Reminder: Training Session Tomorrow,Please provide feedback on the Q2 goals before Friday.,Medium
Budget Plan for Next Quarter,Please provide feedback on the Q2 goals before Friday.,Medium
Follow-up on Previous Discussion,Please provide feedback on the Q2 goals before Friday.,Medium
Company Newsletter - July Edition,Photos from the recent team outing are now uploaded.,Low
Company Newsletter - July Edition,Hereâ€™s the latest edition of our monthly newsletter.,Low
Monthly Team Review,Here's the agenda for next weekâ€™s review meeting.,Medium
Weekend Sale - 50% Off!,Enjoy our exclusive weekend deals. 50% off on selected items!,Low
Meeting Required ASAP,The deadline for the project is tomorrow. We need your inputs ASAP.,High
Urgent: Project Deadline Tomorrow,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Weekend Sale - 50% Off!,Hope you have a relaxing weekend ahead!,Low
Happy Friday! ðŸ˜Š,Hereâ€™s the latest edition of our monthly newsletter.,Low
Reminder: Training Session Tomorrow,Attached is the weekly report. Please review before the Monday call.,Medium
Follow-up on Previous Discussion,Letâ€™s go over the budget and planning documents this afternoon.,Medium
Monthly Team Review,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
Company Newsletter - July Edition,Photos from the recent team outing are now uploaded.,Low
Urgent: Project Deadline Tomorrow,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Weekend Sale - 50% Off!,Check out our latest blog on workplace productivity.,Low
Follow-up on Previous Discussion,Please provide feedback on the Q2 goals before Friday.,Medium
Team Outing Photos,Hereâ€™s the latest edition of our monthly newsletter.,Low
Reminder: Training Session Tomorrow,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
Urgent: Project Deadline Tomorrow,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Budget Plan for Next Quarter,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
Reminder: Training Session Tomorrow,Attached is the weekly report. Please review before the Monday call.,Medium
Weekly Status Report,Letâ€™s go over the budget and planning documents this afternoon.,Medium
Team Outing Photos,Hereâ€™s the latest edition of our monthly newsletter.,Low
Reminder: Training Session Tomorrow,Letâ€™s go over the budget and planning documents this afternoon.,Medium
Reminder: Training Session Tomorrow,Please provide feedback on the Q2 goals before Friday.,Medium
Weekly Status Report,Here's the agenda for next weekâ€™s review meeting.,Medium
Meeting Required ASAP,Delivery to the client failed. We need to act now to resolve it.,High
Weekly Status Report,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
Follow-up on Previous Discussion,Please provide feedback on the Q2 goals before Friday.,Medium
Team Outing Photos,Hereâ€™s the latest edition of our monthly newsletter.,Low
Reminder: Training Session Tomorrow,Here's the agenda for next weekâ€™s review meeting.,Medium
Follow-up on Previous Discussion,Please provide feedback on the Q2 goals before Friday.,Medium
Immediate Action Needed,Delivery to the client failed. We need to act now to resolve it.,High
Weekend Sale - 50% Off!,Photos from the recent team outing are now uploaded.,Low
Meeting Required ASAP,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Security Alert: Change Password Now,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Budget Plan for Next Quarter,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
Don't Miss Our New Blog Post,Hope you have a relaxing weekend ahead!,Low
Don't Miss Our New Blog Post,Photos from the recent team outing are now uploaded.,Low
Weekend Sale - 50% Off!,Photos from the recent team outing are now uploaded.,Low
Immediate Action Needed,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Budget Plan for Next Quarter,Please provide feedback on the Q2 goals before Friday.,Medium
Urgent: Project Deadline Tomorrow,The deadline for the project is tomorrow. We need your inputs ASAP.,High
Critical Issue with Client Delivery,Delivery to the client failed. We need to act now to resolve it.,High
Reminder: Training Session Tomorrow,Attached is the weekly report. Please review before the Monday call.,Medium
Team Outing Photos,Enjoy our exclusive weekend deals. 50% off on selected items!,Low
Monthly Team Review,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
Urgent: Project Deadline Tomorrow,Delivery to the client failed. We need to act now to resolve it.,High
Reminder: Training Session Tomorrow,Letâ€™s go over the budget and planning documents this afternoon.,Medium
Team Outing Photos,Enjoy our exclusive weekend deals. 50% off on selected items!,Low
Urgent: Project Deadline Tomorrow,Suspicious login detected. Please reset your password immediately.,High
Meeting Required ASAP,Suspicious login detected. Please reset your password immediately.,High
Reminder: Training Session Tomorrow,Please provide feedback on the Q2 goals before Friday.,Medium
Immediate Action Needed,Action is needed immediately to fix a major production bug.,High
Security Alert: Change Password Now,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Weekend Sale - 50% Off!,Check out our latest blog on workplace productivity.,Low
Monthly Team Review,Here's the agenda for next weekâ€™s review meeting.,Medium
Don't Miss Our New Blog Post,Check out our latest blog on workplace productivity.,Low
Reminder: Training Session Tomorrow,Letâ€™s go over the budget and planning documents this afternoon.,Medium
Security Alert: Change Password Now,Delivery to the client failed. We need to act now to resolve it.,High
Don't Miss Our New Blog Post,Check out our latest blog on workplace productivity.,Low
Monthly Team Review,Letâ€™s go over the budget and planning documents this afternoon.,Medium
Happy Friday! ðŸ˜Š,Hereâ€™s the latest edition of our monthly newsletter.,Low
Security Alert: Change Password Now,Suspicious login detected. Please reset your password immediately.,High
Urgent: Project Deadline Tomorrow,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Happy Friday! ðŸ˜Š,Hope you have a relaxing weekend ahead!,Low
Critical Issue with Client Delivery,The deadline for the project is tomorrow. We need your inputs ASAP.,High
Immediate Action Needed,Delivery to the client failed. We need to act now to resolve it.,High
Company Newsletter - July Edition,Check out our latest blog on workplace productivity.,Low
Weekly Status Report,Attached is the weekly report. Please review before the Monday call.,Medium
Critical Issue with Client Delivery,The deadline for the project is tomorrow. We need your inputs ASAP.,High
Weekly Status Report,Letâ€™s go over the budget and planning documents this afternoon.,Medium
Critical Issue with Client Delivery,The deadline for the project is tomorrow. We need your inputs ASAP.,High
Weekend Sale - 50% Off!,Hope you have a relaxing weekend ahead!,Low
Don't Miss Our New Blog Post,Enjoy our exclusive weekend deals. 50% off on selected items!,Low
Happy Friday! ðŸ˜Š,Enjoy our exclusive weekend deals. 50% off on selected items!,Low
Weekend Sale - 50% Off!,Hereâ€™s the latest edition of our monthly newsletter.,Low
Meeting Required ASAP,Please join the urgent meeting at 2 PM. Itâ€™s about a client issue.,High
Reminder: Training Session Tomorrow,Attached is the weekly report. Please review before the Monday call.,Medium
Weekend Sale - 50% Off!,Photos from the recent team outing are now uploaded.,Low
Team Outing Photos,Hereâ€™s the latest edition of our monthly newsletter.,Low
Weekend Sale - 50% Off!,Enjoy our exclusive weekend deals. 50% off on selected items!,Low
Immediate Action Needed,Action is needed immediately to fix a major production bug.,High
Urgent: Project Deadline Tomorrow,Delivery to the client failed. We need to act now to resolve it.,High
Happy Friday! ðŸ˜Š,Enjoy our exclusive weekend deals. 50% off on selected items!,Low
Meeting Required ASAP,The deadline for the project is tomorrow. We need your inputs ASAP.,High
Weekly Status Report,Donâ€™t forget tomorrowâ€™s training session on communication skills.,Medium
